Time: 2025-04-07 20:24:42, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:42, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:42, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:42, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:42, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:42, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:42, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:42, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:41, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:41, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:41, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:41, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:41, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:41, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:41, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:41, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:41, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:41, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:41, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:41, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:41, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:41, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:41, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:41, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:41, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:41, Event ID: 4672, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:41, Event ID: 4624, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:41, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:40, Event ID: 4672, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:40, Event ID: 4624, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:10, Event ID: 4672, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:10, Event ID: 4624, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:23:08, Event ID: 4634, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:23:08, Event ID: 4672, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:23:08, Event ID: 4624, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:23:08, Event ID: 4634, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:23:08, Event ID: 4672, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:23:08, Event ID: 4672, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:23:08, Event ID: 4624, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:23:08, Event ID: 4624, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:23:08, Event ID: 4648, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:23:08, Event ID: 4798, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:23:04, Event ID: 4625, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:23:02, Event ID: 4625, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:22:59, Event ID: 4625, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:22:56, Event ID: 4625, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:22:53, Event ID: 4625, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:22:49, Event ID: 4798, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:22:49, Event ID: 4798, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:22:44, Event ID: 4634, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:22:44, Event ID: 4634, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:22:44, Event ID: 4672, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:22:44, Event ID: 4672, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:22:44, Event ID: 4624, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:22:44, Event ID: 4624, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:22:44, Event ID: 4648, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:22:44, Event ID: 4798, Source: Microsoft-Windows-Security-Auditing
